@attribute G numeric
@attribute H numeric
@attribute HR numeric
@attribute AB numeric
@attribute BA numeric
@attribute Tier_1_Awards numeric
@attribute Tier_2_Awards numeric
@attribute Tier_3_Awards numeric
@attribute hof nominal { 0.0, 1.0 }

@data
367.0, 168.0, 14.0, 892.0, 0.188340807174888, 0.0, 0.0, 0.0, 0.0
1049.0, 618.0, 58.0, 2743.0, 0.225300765585126, 0.0, 0.0, 0.0, 0.0
973.0, 776.0, 98.0, 3060.0, 0.25359477124183, 0.0, 0.0, 0.0, 0.0
247.0, 168.0, 0.0, 833.0, 0.201680672268908, 0.0, 0.0, 0.0, 0.0
833.0, 788.0, 13.0, 3222.0, 0.244568590937306, 0.0, 0.0, 0.0, 0.0
739.0, 549.0, 98.0, 2258.0, 0.243135518157662, 0.0, 0.0, 0.0, 0.0
829.0, 624.0, 105.0, 2261.0, 0.275984077841663, 0.0, 0.0, 0.0, 0.0
501.0, 407.0, 6.0, 1448.0, 0.281077348066298, 0.0, 0.0, 0.0, 0.0
1086.0, 966.0, 28.0, 3744.0, 0.258012820512821, 0.0, 0.0, 0.0, 0.0
473.0, 521.0, 46.0, 1710.0, 0.304678362573099, 0.0, 0.0, 0.0, 0.0
1414.0, 1682.0, 65.0, 5472.0, 0.307383040935673, 0.0, 0.0, 2.0, 0.0
295.0, 205.0, 0.0, 767.0, 0.267275097783572, 0.0, 0.0, 0.0, 0.0
1279.0, 951.0, 38.0, 3614.0, 0.263143331488655, 0.0, 0.0, 0.0, 0.0
379.0, 299.0, 6.0, 1187.0, 0.251895534962089, 0.0, 0.0, 0.0, 0.0
2707.0, 3154.0, 317.0, 10349.0, 0.3047637452894, 3.0, 3.0, 5.0, 1.0
1795.0, 2054.0, 78.0, 6702.0, 0.30647567890182, 0.0, 0.0, 13.0, 1.0
260.0, 117.0, 14.0, 507.0, 0.230769230769231, 0.0, 0.0, 0.0, 0.0
955.0, 775.0, 9.0, 2937.0, 0.263874702076949, 0.0, 0.0, 0.0, 0.0
929.0, 889.0, 60.0, 2992.0, 0.297125668449198, 0.0, 0.0, 0.0, 0.0
246.0, 261.0, 8.0, 832.0, 0.313701923076923, 0.0, 0.0, 0.0, 0.0
2282.0, 2256.0, 108.0, 8046.0, 0.280387770320656, 0.0, 0.0, 1.0, 0.0
922.0, 1096.0, 17.0, 3615.0, 0.303181189488243, 0.0, 0.0, 0.0, 0.0
937.0, 1075.0, 31.0, 3404.0, 0.315804935370153, 0.0, 0.0, 1.0, 0.0
1288.0, 1316.0, 107.0, 4554.0, 0.288976723759332, 0.0, 0.0, 0.0, 0.0
422.0, 308.0, 26.0, 1255.0, 0.245418326693227, 0.0, 0.0, 0.0, 0.0
